time(s)	globalZ	gyroAngle
6.663	-0.033990	357.878
6.684	-0.028843	357.863
6.704	0.003132	357.850
6.728	-0.127774	357.845
6.747	-0.198982	357.855
6.769	-0.123497	357.893
6.789	-0.042073	357.950
6.811	-0.046822	357.994
6.833	0.060952	358.005
6.853	0.092770	357.987
6.874	0.168544	357.970
6.895	0.154915	357.961
6.916	0.062837	357.930
6.937	-0.063671	357.898
6.960	-0.172667	357.875
6.980	-0.121166	357.889
7.002	-0.058275	357.898
7.023	-0.063754	357.890
7.044	-0.005161	357.889
7.065	0.079393	357.894
7.086	0.110744	357.895
7.107	0.069675	357.891
7.128	-0.028482	357.897
7.150	-0.054659	357.904
7.171	-0.135537	357.910
7.194	-0.149345	357.911
7.213	-0.029573	357.911
7.244	0.111427	357.910
7.255	0.111440	357.900
7.277	0.073334	357.894
7.298	0.059433	357.886
7.320	0.064544	357.888
7.340	-0.040476	357.888
7.363	-0.156367	357.896
7.385	-0.077977	357.911
7.404	0.086331	357.938
7.428	0.129698	357.935
7.447	0.153295	357.899
7.473	0.121599	357.838
7.489	0.081702	357.777
7.511	-0.086039	357.731
7.532	-0.174893	357.686
7.553	-0.113920	357.686
7.573	0.019339	357.662
7.594	0.064326	357.655
7.616	0.070306	357.652
7.637	0.035486	357.648
7.659	-0.029750	357.632
7.679	-0.083513	357.608
7.702	-0.054265	357.589
7.723	-0.057159	357.578
7.744	0.011209	357.567
7.764	0.095750	357.547
7.785	-0.002569	357.515
7.806	-0.122694	357.490
7.828	-0.015437	357.473
7.851	0.051094	357.462
7.870	-0.033796	357.453
7.894	-0.062145	357.453
7.913	-0.010174	357.457
7.935	0.063914	357.459
7.955	0.039341	357.458
7.977	-0.079219	357.459
7.997	-0.107621	357.470
8.020	-0.004742	357.470
8.040	0.035893	357.464
8.061	0.018514	357.423
8.085	0.074433	357.423
8.103	0.066571	357.325
8.125	-0.019148	357.292
8.153	-0.026725	357.292
8.168	-0.057490	357.278
8.188	0.019761	357.292
8.210	0.015164	357.311
8.230	-0.012138	357.334
8.254	-0.061460	357.358
8.273	-0.122730	357.382
8.294	-0.087225	357.409
8.315	0.026416	357.438
8.337	0.056304	357.456
8.358	0.102060	357.461
8.379	0.101921	357.460
8.402	0.121528	357.465
8.423	0.120532	357.467
8.444	-0.032309	357.470
8.464	-0.143533	357.470
8.485	-0.156979	357.479
8.506	0.023573	357.516
8.528	0.090275	357.550
8.548	-0.027156	357.576
8.570	-0.176638	357.615
8.591	-0.141578	357.680
8.613	-0.044259	357.756
8.633	-0.006250	357.816
8.654	0.012389	357.847
8.677	0.089192	357.866
8.699	0.238728	357.885
8.719	0.057541	357.896
8.739	-0.092202	357.926
8.769	-0.075073	357.969
8.783	-0.168602	358.023
8.803	-0.169930	358.060
8.824	-0.097655	358.075
8.847	-0.200604	358.084
8.868	-0.029973	358.105
8.888	0.334277	358.113
8.911	0.390058	358.113
8.930	0.278900	358.126
8.952	0.124741	358.171
8.973	-0.021401	358.238
8.994	-0.117743	358.304
9.015	-0.193134	358.365
9.036	-0.298792	358.378
9.057	-0.398574	358.378
9.078	-0.376034	358.289
9.102	-0.137682	358.167
9.121	0.245190	358.061
9.143	0.438799	357.982
9.163	0.396983	357.940
9.184	0.213754	357.934
9.205	0.017729	357.973
9.227	-0.129933	358.056
9.248	-0.201751	358.154
9.269	-0.132168	358.237
9.290	-0.107475	358.279
9.313	-0.315484	358.274
9.333	-0.323855	358.244
9.354	-0.302386	358.191
9.376	-0.429737	358.127
9.396	-0.496229	358.121
9.418	-0.260239	358.188
9.439	0.030640	358.310
9.461	0.155862	358.310
9.481	-0.071356	358.324
9.503	-0.374470	358.342
9.524	-0.430519	358.395
9.545	-0.430841	358.460
9.568	-0.248889	358.460
9.587	0.256894	358.446
9.610	0.482511	358.450
9.630	0.515012	358.426
9.652	0.518016	358.254
9.673	0.401971	358.254
9.693	0.445009	358.105
9.714	0.599319	357.845
9.735	0.329008	357.432
9.757	-0.329864	356.932
9.778	-0.834290	356.434
9.799	-0.908299	355.985
9.820	-1.018516	355.608
9.843	-1.037368	355.340
9.863	-0.910022	355.153
9.885	-0.710524	355.022
9.905	-0.794741	354.947
9.926	-0.649069	354.881
9.948	0.059608	354.800
9.969	0.982296	354.701
9.990	1.820528	354.552
10.011	2.320337	354.314
10.035	2.820705	354.049
10.054	3.566358	353.889
10.077	3.997328	353.882
10.097	3.781841	354.036
10.119	2.781774	354.326
10.139	1.858306	354.761
10.160	1.759474	355.299
10.181	2.009053	355.887
10.203	0.394321	356.424
10.223	-1.599698	356.805
10.244	-2.832267	357.023
10.265	-3.149820	357.175
10.286	-2.480109	357.323
10.309	-1.591243	357.457
10.329	-0.959330	357.583
10.351	-0.703193	357.724
10.373	-0.759619	357.887
10.393	-0.942873	358.127
10.414	-0.974397	358.450
10.436	-0.894666	358.876
10.456	-1.125899	359.396
10.477	-1.203399	359.942
10.499	-0.817263	0.481
10.520	-0.447689	0.910
10.542	-0.044693	1.149
10.563	0.480984	1.291
10.593	0.992032	1.413
10.605	1.526628	1.648
10.626	1.996409	1.648
10.647	2.265387	1.707
10.669	2.301779	1.559
10.689	2.117261	1.168
10.711	2.006253	0.721
10.735	2.593522	0.170
10.753	2.995132	359.474
10.775	1.750672	358.670
10.796	-0.493279	357.852
10.818	-2.204964	357.129
10.838	-2.746441	356.681
10.860	-2.225368	356.648
10.880	-1.374365	356.997
10.902	-1.006386	357.523
10.923	-0.872774	357.964
10.944	-0.985460	358.158
10.965	-1.314069	358.090
10.986	-1.647605	357.911
11.008	-1.716599	357.762
11.028	-1.696478	357.677
11.054	-1.372352	357.629
11.071	-0.984997	357.616
11.093	-0.923126	357.645
11.113	-0.652425	357.677
11.136	-0.207184	357.745
11.156	-0.029117	357.892
11.177	0.114078	357.892
11.198	0.764981	358.133
11.219	1.653456	358.297
11.242	2.282113	358.292
11.263	2.321563	358.191
11.286	2.467019	358.153
11.304	2.940264	358.153
11.326	3.810272	358.359
11.347	4.289085	358.605
11.368	2.744614	358.775
11.389	-0.050801	358.775
11.410	-1.736371	358.663
11.434	-2.047075	358.660
11.454	-2.131813	359.388
11.474	-2.166180	359.388
11.498	-1.934114	359.872
11.517	-1.777421	0.231
11.537	-1.905809	0.431
11.558	-1.914912	0.577
11.580	-1.548056	0.799
11.601	-1.137012	1.149
11.623	-1.082987	1.483
11.643	-0.813245	1.641
11.664	-0.644609	1.613
11.686	-0.548343	1.124
11.707	-0.417922	1.124
11.728	-0.237825	0.901
11.750	0.469907	0.798
11.770	1.216623	0.804
11.800	1.825417	0.939
11.813	2.526470	1.019
11.836	2.882215	0.914
11.855	2.273497	0.749
11.876	2.060467	0.602
11.898	2.019161	359.995
11.919	1.948143	359.995
11.940	0.751398	359.611
11.962	-1.604138	359.358
11.984	-2.213094	359.358
12.003	-2.655863	359.054
12.027	-2.551949	358.479
12.046	-2.883613	358.224
