time(s)	globalZ	gyroAngle
3.257	0.000513	180
3.257	-0.009438	179.909
3.257	0.029988	179.898
3.258	-0.007656	179.953
3.258	0.002529	180.001
3.259	-0.043481	180.023
3.259	-0.121513	180.053
3.259	-0.110195	180.112
3.26	0.037062	180.17
3.26	0.182918	180.193
3.261	0.19389	180.186
3.261	0.084645	180.164
3.261	0.000672	180.144
3.262	-0.03113	180.139
3.262	-0.021329	180.147
3.263	-0.039036	180.126
3.263	-0.075399	180.052
3.264	-0.21274	179.957
3.264	-0.302548	179.897
3.265	-0.148596	179.911
3.265	0.042093	179.994
3.265	0.148289	180.034
3.265	0.099014	179.975
3.266	-0.021926	179.876
3.266	-0.097376	179.812
3.266	0.016558	179.813
3.267	0.204323	179.814
3.267	0.164703	179.762
3.267	0.029164	179.703
3.267	-0.021445	179.695
3.268	-0.143008	179.758
3.268	-0.224559	179.818
3.268	-0.126505	179.828
3.268	0.032314	179.838
3.269	0.132066	179.874
3.269	0.172854	179.92
3.298	0.105988	179.92
3.325	0.025732	179.953
3.325	-0.034916	180.003
3.346	-0.064484	180.003
3.367	-0.029588	180.052
3.392	0.089462	180.091
3.41	0.093954	180.096
3.432	0.033182	180.056
3.453	0.002523	180
3.474	0.039805	179.973
3.498	-0.026116	179.975
3.517	-0.009087	179.946
3.539	0.084951	179.896
3.561	0.215222	179.86
3.583	0.156035	179.86
3.604	0.010939	179.86
3.624	-0.061273	179.86
3.647	-0.062553	179.86
3.667	-0.00713	179.844
3.696	0.020697	179.852
3.71	-0.102008	179.898
3.731	-0.184879	179.944
3.752	-0.234041	179.968
3.774	-0.070764	179.961
3.796	0.044637	179.943
3.816	0.060335	179.946
3.838	-0.060687	179.952
3.861	-0.045945	179.93
3.882	0.115537	179.889
3.904	0.178931	179.856
3.923	0.084909	179.825
3.946	0.105929	179.778
3.966	0.076093	179.729
3.988	-0.038863	179.693
4.009	-0.158897	179.697
4.031	-0.173747	179.734
4.053	-0.118268	179.751
4.073	0.030076	179.706
4.095	0.127039	179.62
4.116	0.157568	179.547
4.137	0.089504	179.523
4.159	0.033099	179.525
4.181	0.019143	179.506
4.203	-0.086375	179.44
4.223	-0.19414	179.268
4.244	-0.236543	179.268
4.267	-0.087366	179.226
4.288	0.109846	179.206
4.308	0.155235	179.178
4.33	0.090474	179.129
4.352	0.086781	179.074
4.374	-0.032517	179.043
4.394	-0.122915	179.031
4.415	-0.164362	178.991
4.437	-0.135101	178.991
4.46	-0.099462	178.976
4.479	-0.065617	178.977
4.502	0.010837	179.001
4.522	0.13171	179.026
4.545	0.236193	179.029
4.565	0.176569	179.035
4.586	0.057629	179.069
4.609	-0.087661	179.138
4.63	-0.073773	179.21
4.651	-0.053062	179.244
4.672	-0.055211	179.242
4.694	-0.097409	179.236
4.717	-0.1193	179.266
4.736	-0.123999	179.348
4.759	-0.097458	179.441
4.779	0.006057	179.482
4.803	0.065516	179.487
4.822	0.153072	179.494
4.843	0.203567	179.504
4.864	0.117121	179.51
4.887	0.001225	179.484
4.907	0.013337	179.415
4.928	0.141153	179.321
4.95	0.116309	179.226
4.972	-0.100471	179.141
4.992	-0.243077	179.088
5.016	-0.333298	179.09
5.035	-0.214115	179.134
5.058	-0.061084	179.196
5.078	-0.011124	179.237
5.101	0.003495	179.239
5.124	0.002663	179.215
5.144	0.096035	179.182
5.166	0.116169	179.18
5.185	0.070113	179.212
5.21	0.103404	179.236
5.229	0.027402	179.22
5.249	-0.026278	179.048
5.27	-0.026123	179.048
5.292	-0.163406	179.03
5.314	-0.223577	179.101
5.335	-0.188824	179.182
5.356	0.015303	179.205
5.378	0.075548	179.19
5.399	0.012774	179.19
5.423	-0.023866	179.237
5.442	0.117479	179.295
5.464	0.223333	179.307
5.484	0.151797	179.268
5.506	0.043573	179.216
5.527	-0.045292	179.171
5.549	-0.092574	179.171
5.573	-0.055259	179.172
5.591	-0.065964	179.172
5.614	-0.142098	179.161
5.635	-0.160114	179.179
5.656	0.030551	179.179
5.677	0.24489	179.193
5.698	0.247142	179.169
5.722	0.062543	179.126
5.742	-0.033301	179.101
5.764	-0.000262	179.112
5.784	0.025452	179.146
5.805	-0.019261	179.168
5.827	-0.040116	179.166
5.848	0.001675	179.136
5.87	-0.026231	179.094
5.891	-0.118968	179.088
5.913	-0.026464	179.122
5.934	0.00627	179.186
5.955	0.038787	179.186
5.976	0.116913	179.198
5.998	0.098046	179.202
6.021	-0.07134	179.217
6.042	-0.10685	179.255
6.062	-0.080643	179.307
6.083	-0.040583	179.363
6.104	0.012827	179.403
6.127	0.130517	179.418
6.147	0.22639	179.42
6.169	0.208085	179.408
6.191	0.124777	179.327
6.212	-0.066535	179.327
6.233	-0.351665	179.406
6.254	-0.422028	179.406
6.277	-0.254319	179.535
6.297	0.031894	179.535
6.32	0.279937	179.523
6.344	0.220909	179.5
6.362	0.001584	179.502
6.383	-0.036718	179.507
6.404	0.069507	179.503
6.433	0.020613	179.499
6.447	-0.095394	179.477
6.469	-0.163915	179.441
6.489	-0.039679	179.441
6.511	0.12219	179.528
6.532	0.111257	179.644
6.554	0.0353	179.683
6.577	0.068895	179.644
6.597	-0.027363	179.612
6.618	-0.088115	179.622
6.639	0.002233	179.664
6.662	0.004182	179.664
6.682	-0.118157	179.682
6.703	-0.198312	179.706
6.726	-0.071449	179.737
6.746	-0.001504	179.738
6.768	0.089147	179.738
6.789	0.063263	179.696
6.81	0.116825	179.667
6.834	0.145116	179.688
6.854	0.086569	179.748
6.875	-0.051698	179.808
6.896	-0.103525	179.847
6.918	-0.058964	179.877
6.939	0.054395	179.908
6.961	0.084144	179.925
6.984	0.021284	179.868
7.003	-0.070578	179.868
7.025	-0.05087	179.832
7.049	0.08822	179.806
7.067	0.17409	179.796
7.089	0.097651	179.77
7.11	0.00659	179.694
7.133	-0.045891	179.59
7.152	-0.134552	179.511
7.174	-0.293218	179.558
7.195	-0.236968	179.558
7.217	-0.017262	179.615
7.238	0.184674	179.646
7.261	0.111648	179.633
7.282	0.033997	179.602
7.302	0.132359	179.612
