time(s)	globalZ	gyroAngle
6.342	-0.083590	0.000
6.344	-0.107280	0.064
6.344	-0.169154	0.108
6.344	0.212747	0.100
6.345	0.147222	0.128
6.345	0.328854	0.176
6.345	0.137820	0.232
6.346	0.049209	0.282
6.346	-0.014779	0.284
6.346	0.032446	0.272
6.347	0.075682	0.261
6.347	-0.180490	0.210
6.347	-0.257198	0.210
6.348	-0.116065	0.177
6.349	0.177614	0.185
6.349	0.098574	0.198
6.350	-0.035663	0.192
6.350	-0.157165	0.192
6.351	-0.200072	0.161
6.351	-0.081066	0.119
6.352	-0.014087	0.071
6.352	0.103532	0.024
6.353	0.113899	359.992
6.353	-0.060851	359.974
6.353	-0.192358	359.955
6.354	-0.105426	359.908
6.354	0.205250	359.849
6.355	0.292978	359.828
6.356	0.009517	359.839
6.356	-0.194277	359.845
6.356	0.099987	359.813
6.357	0.389167	359.733
6.357	0.153104	359.633
6.358	-0.063539	359.527
6.358	0.154075	359.424
6.359	0.279011	359.286
6.359	0.240691	359.149
6.359	-0.180925	359.079
6.359	-0.506839	359.020
6.360	-0.471335	358.903
6.360	0.048295	358.857
6.360	0.114871	358.857
6.361	-0.457823	358.984
6.361	-0.516039	359.072
6.361	0.153568	359.066
6.362	0.468398	359.009
6.362	-0.176777	358.975
6.362	-0.133606	358.998
6.363	0.153027	359.093
6.363	0.299316	359.158
6.363	0.083331	359.127
6.363	-0.150023	359.061
6.364	-0.236224	359.061
6.364	-0.121837	359.094
6.364	0.274203	359.094
6.365	0.217263	359.077
6.365	-0.131278	359.127
6.365	-0.009243	359.231
6.365	-0.191406	359.299
6.365	-0.425547	359.270
6.366	0.279112	359.181
6.366	0.950154	359.197
6.366	0.082994	359.303
6.366	-0.367131	359.366
6.367	0.149934	359.417
6.367	0.060016	359.487
6.367	-0.121637	359.577
6.368	-0.175477	359.625
6.368	-0.169099	359.613
6.368	-0.176303	359.578
6.368	-0.101570	359.542
6.369	0.046092	359.499
6.369	-0.089753	359.499
6.369	-0.032730	359.488
6.369	0.137807	359.494
6.370	0.286352	359.525
6.370	0.206276	359.556
6.370	0.107922	359.603
6.370	0.130753	359.658
6.371	0.075419	359.680
6.371	-0.132356	359.666
6.371	-0.082848	359.640
6.372	0.115382	359.639
6.372	0.084806	359.643
6.372	-0.214600	359.624
6.372	-0.209028	359.606
6.373	-0.225460	359.638
6.373	-0.107775	359.611
6.373	-0.240925	359.675
6.373	0.103797	359.711
6.374	0.388610	359.728
6.374	0.288827	359.717
6.374	0.006466	359.676
6.374	0.037374	359.614
6.375	0.206492	359.599
6.375	0.091967	359.625
6.375	-0.354337	359.623
6.376	-0.349119	359.572
6.376	0.046329	359.494
6.376	0.224214	359.476
6.376	-0.256126	359.510
6.377	-0.663142	359.521
6.377	0.174039	359.481
6.377	0.776275	359.498
6.377	0.121899	359.592
6.378	0.003569	359.663
6.378	0.105251	359.744
6.378	-0.020855	359.778
6.378	-0.141363	359.780
6.379	-0.063861	359.764
6.379	-0.039788	359.730
6.379	-0.194683	359.700
6.380	-0.077815	359.695
6.380	-0.160031	359.702
6.380	-0.025123	359.713
6.381	0.190476	359.718
6.381	0.200498	359.712
6.381	0.119886	359.713
6.382	-0.118301	359.712
6.382	-0.020640	359.693
6.383	0.104194	359.670
6.383	0.047513	359.670
6.383	-0.142893	359.645
6.384	-0.200134	359.616
6.384	-0.080021	359.612
6.385	0.086304	359.634
6.385	0.167017	359.664
6.385	0.039635	359.693
6.386	-0.079004	359.685
6.386	-0.043455	359.654
6.387	0.042325	359.660
6.387	0.248930	359.711
6.387	0.230839	359.750
6.388	0.142700	359.765
6.388	-0.084164	359.807
6.389	-0.297285	359.891
6.398	-0.163816	359.976
6.517	0.000983	0.034
6.517	0.098883	0.067
6.518	0.114781	0.094
6.518	0.002938	0.137
6.518	-0.180126	0.192
6.519	-0.160855	0.227
6.548	0.026846	0.225
6.562	0.135274	0.199
6.583	0.091282	0.178
6.604	-0.071994	0.167
6.625	-0.144591	0.166
6.647	0.024006	0.167
6.672	0.194337	0.154
6.690	0.261244	0.073
6.711	0.060090	0.073
6.734	-0.128750	0.047
6.755	-0.132536	0.073
6.775	0.014346	0.118
6.797	0.036813	0.146
6.819	-0.044299	0.153
6.840	-0.108027	0.169
6.861	-0.082521	0.208
6.882	0.097385	0.251
6.904	0.174607	0.282
6.930	0.114461	0.297
6.946	-0.070560	0.307
6.969	-0.155538	0.318
6.989	-0.035610	0.336
7.010	0.092084	0.384
7.032	-0.108260	0.445
7.055	-0.298074	0.499
7.076	-0.157496	0.533
7.096	0.086897	0.564
7.118	0.285651	0.623
7.139	0.374061	0.623
7.160	0.076425	0.672
7.182	-0.146406	0.714
7.203	-0.111196	0.734
7.229	0.086299	0.755
7.246	0.103476	0.799
7.267	0.108105	0.865
7.288	0.054178	0.923
7.311	0.024816	0.977
7.332	-0.018793	1.029
7.354	-0.047305	1.100
7.375	-0.176805	1.174
7.396	-0.197479	1.213
7.417	-0.131230	1.202
7.438	0.031711	1.189
7.459	0.139855	1.231
7.481	0.090982	1.297
7.505	-0.034271	1.318
7.528	-0.089263	1.268
7.545	-0.038057	1.186
7.566	-0.034407	1.170
7.588	-0.103363	1.238
7.609	-0.130545	1.306
7.633	0.006782	1.319
7.652	0.187575	1.296
7.676	0.082428	1.297
7.695	-0.099494	1.324
7.716	-0.137831	1.332
7.738	-0.030601	1.265
7.760	-0.025940	1.265
7.783	-0.149908	1.228
7.802	-0.215399	1.171
7.824	-0.070793	1.082
7.845	0.042129	0.967
7.867	-0.169404	0.824
7.888	-0.401110	0.611
7.909	-0.449113	0.346
7.932	-0.537360	0.075
7.952	-0.316406	359.822
7.975	1.740724	359.725
7.996	1.542141	359.835
8.017	-1.615722	359.835
8.037	-0.073638	359.723
8.058	0.229592	359.463
8.081	-0.069110	358.969
8.102	-0.485319	358.450
8.123	0.059256	357.858
8.144	0.689260	356.932
8.166	1.126627	355.693
8.189	0.370332	354.390
8.208	0.478069	353.243
8.230	1.202135	352.404
8.251	0.254278	351.820
8.275	-0.440795	351.373
8.298	-0.467552	350.955
8.315	-0.295960	350.667
8.339	-0.032307	350.572
8.359	0.288513	350.451
8.379	-0.655717	349.903
8.401	-0.417577	349.117
8.422	-0.976383	348.173
8.446	-0.729403	347.320
8.465	-0.738751	346.619
8.488	-0.659134	346.274
8.508	0.929002	346.824
8.530	0.887073	347.484
8.551	0.073359	347.808
8.572	-0.195396	347.997
8.596	-0.005455	348.735
8.616	0.741302	348.735
8.637	0.255028	349.214
8.657	-0.413171	350.230
8.679	0.221895	351.677
8.704	-0.488388	353.179
8.722	-1.554533	354.411
8.743	-1.052035	355.246
8.765	-0.818202	356.043
8.787	-1.654295	357.034
8.808	-1.188283	358.231
8.828	1.111135	359.341
8.850	2.469246	0.256
8.874	1.225057	1.047
8.895	-0.435241	1.820
8.915	0.514485	2.550
8.936	1.034015	3.094
8.958	-0.087488	3.527
8.978	-1.632382	4.004
9.000	-2.468762	4.543
9.021	-1.716445	5.051
9.047	0.430445	5.584
9.064	2.646933	6.220
9.086	5.529287	6.602
9.107	0.660061	6.606
9.128	-1.192899	6.696
9.150	-0.997674	7.082
9.171	0.212375	6.316
9.194	0.740300	4.968
9.219	0.675551	3.909
9.235	-1.734907	3.238
9.256	-0.569189	2.699
9.280	0.437475	1.706
9.302	-0.385156	1.706
9.321	-1.837291	1.054
9.343	-1.463568	0.162
9.364	-0.227905	358.464
9.385	1.069462	358.464
9.406	0.633830	357.698
9.427	-0.018168	356.962
9.451	0.287245	356.012
9.470	0.609864	354.812
9.492	0.275557	353.835
9.514	0.034733	353.400
9.535	0.075391	353.414
9.556	0.337255	353.337
9.577	1.015541	352.827
9.600	0.375510	351.840
9.620	0.225387	350.859
9.642	1.006729	350.404
9.663	-0.534704	349.748
9.684	-0.015493	349.748
9.705	0.140856	349.332
9.727	-0.733694	349.031
9.750	-1.160707	348.103
9.770	-0.791683	348.103
9.791	0.888222	347.129
9.816	3.102745	346.178
9.835	3.535492	345.452
9.855	2.029002	345.224
9.877	0.542568	345.748
9.899	0.238351	346.775
9.919	-0.961309	347.999
9.941	-1.624780	349.266
9.962	-0.984117	350.276
9.984	-1.172612	351.090
10.006	-1.345866	351.884
10.026	-0.994054	352.683
10.048	-0.136259	353.447
10.069	0.731480	354.078
10.090	-0.345144	354.569
10.112	-0.079453	354.961
10.135	0.083105	355.251
10.157	-0.977107	355.576
10.176	-0.718286	355.747
10.198	0.755048	355.501
10.219	1.199483	355.048
10.240	0.330140	354.608
10.261	0.145190	354.292
10.283	-0.375213	354.047
10.306	-0.785209	354.012
10.326	0.084924	354.550
10.348	0.876165	355.352
10.369	0.121232	355.944
10.390	0.395487	356.365
10.411	1.122955	357.396
10.434	-0.075520	357.396
10.455	-0.540857	357.799
10.475	-0.153125	358.059
10.498	-0.168270	358.277
10.518	-0.288391	358.505
10.539	0.414749	358.732
10.567	0.527319	358.800
10.582	0.294900	358.615
10.605	0.305017	358.326
10.625	0.144279	358.140
10.646	-0.092485	358.143
10.668	-0.074912	358.259
10.689	-0.087799	358.418
10.712	-0.280031	358.587
10.732	-0.430613	358.741
10.757	-0.118089	358.934
10.775	0.064004	359.180
10.796	0.022284	359.463
10.818	0.014346	359.818
10.839	-0.024188	0.231
10.862	-0.042182	0.647
10.882	0.100734	0.979
10.904	0.171624	1.236
10.925	0.082809	1.236
10.946	0.015635	1.666
10.968	0.162887	1.740
10.989	0.097558	1.710
11.011	-0.029076	1.671
11.031	-0.142133	1.719
11.055	-0.354071	1.835
11.075	-0.540059	1.900
11.096	-0.448806	1.910
11.120	-0.430220	1.778
11.138	-0.505900	1.778
11.161	-0.462523	1.645
11.183	-0.484543	1.490
11.203	-0.423435	1.334
11.224	-0.166859	1.221
11.246	0.101195	1.140
11.268	0.359464	1.033
11.288	0.509452	0.903
11.310	0.459834	0.766
11.331	0.317284	0.664
11.355	0.149465	0.635
11.377	0.119014	0.635
11.395	0.344163	0.803
11.418	0.494707	0.954
11.439	0.660340	1.265
11.459	1.032538	1.265
11.481	1.362865	1.295
11.503	1.532857	1.248
11.525	1.316663	1.195
11.546	0.599649	1.219
11.567	-0.107479	1.219
11.588	-0.360647	1.457
11.609	-0.339956	1.457
11.631	-0.404297	1.560
11.652	-0.621416	1.638
11.675	-0.925902	1.709
11.695	-1.222162	1.810
11.716	-1.367062	1.979
11.737	-1.279648	2.227
11.759	-1.061145	2.517
11.780	-0.791376	2.958
11.801	-0.263036	2.958
11.825	0.263494	3.030
11.849	0.420580	2.991
11.865	0.228575	2.891
11.887	-0.124031	2.818
11.908	-0.332732	2.780
11.930	-0.213377	2.737
11.951	-0.057656	2.719
11.974	-0.016568	2.723
11.995	0.011248	2.731
12.015	0.060880	2.762
12.037	0.229314	2.797
12.058	0.590638	2.784
12.079	1.081300	2.698
12.101	1.420393	2.191
12.122	1.293848	2.191
12.144	1.295493	1.782
12.165	1.395216	1.300
12.186	1.120127	0.807
12.208	0.863287	0.323
12.230	1.004080	359.801
12.250	0.831359	359.210
12.272	0.202500	358.602
12.297	-0.353391	358.080
12.316	-0.713017	357.676
12.336	-0.727297	357.344
12.358	-0.280594	357.072
12.380	0.363749	356.625
12.400	0.435582	356.625
12.422	0.080759	356.305
12.443	-0.550133	355.958
12.465	-0.698889	355.586
12.486	-0.592602	355.185
12.507	-0.757421	354.846
12.529	-1.008123	354.612
12.550	-0.830067	354.423
12.572	-0.569333	354.239
12.596	-0.605795	354.062
12.615	-0.754438	353.914
12.636	-0.657342	353.914
12.657	-0.555583	354.044
12.679	-0.361997	354.211
12.700	-0.149976	354.349
12.721	-0.021150	354.433
12.743	0.141005	354.417
12.764	0.055084	354.417
12.787	0.025966	354.351
12.808	-0.120202	354.219
12.828	-0.175421	354.039
12.849	0.116616	353.915
12.871	1.290088	353.968
12.892	2.044610	353.968
12.915	1.694433	353.993
12.936	1.201995	354.078
12.956	1.094559	354.249
12.978	1.284669	354.476
13.001	1.364305	354.714
13.021	0.873992	354.934
13.042	0.002467	355.130
13.063	-0.525781	355.381
13.086	-0.342730	355.672
13.106	-0.052034	355.889
13.129	-0.452093	356.092
13.149	-1.138182	356.092
13.171	-1.673022	356.109
13.192	-1.982345	356.093
13.214	-1.864424	355.998
13.235	-1.317536	355.896
13.256	-0.631850	355.803
13.277	-0.009032	355.667
13.299	0.445296	355.525
13.320	0.712323	355.422
13.343	0.590754	355.275
13.363	0.476397	355.020
13.385	0.213089	354.468
13.406	-0.323927	354.468
13.427	-0.565440	354.118
13.448	-0.617022	353.756
13.470	-0.509629	353.421
13.493	-0.171175	353.051
13.515	0.143454	352.179
13.535	0.330248	352.179
13.555	0.435764	351.705
13.577	0.121252	351.220
13.600	-0.181344	350.706
13.619	-0.137612	350.179
13.642	0.277274	349.687
13.667	0.900455	349.284
13.684	1.402485	348.993
13.705	1.240709	348.726
13.726	0.772749	348.418
13.748	0.307461	348.111
13.770	-0.175386	347.855
13.791	-0.457587	347.619
13.812	-0.415647	347.363
13.835	-0.346178	346.759
13.858	-0.101904	346.759
13.876	0.042196	346.465
13.898	-0.111685	346.216
13.919	-0.562006	345.995
13.941	-0.828756	345.804
13.962	-0.745020	345.658
13.983	-0.214154	345.604
14.005	0.674340	345.660
14.026	1.254349	345.786
14.048	1.108622	345.942
14.069	0.751713	346.071
14.090	0.672334	346.141
14.112	0.443053	346.152
14.134	-0.130649	346.126
14.156	-0.672804	346.083
14.175	-0.902251	346.090
14.198	-0.807593	346.208
14.218	-0.279037	346.431
14.240	0.139952	346.743
14.261	0.417619	347.103
14.283	0.677027	347.473
14.304	0.858007	347.803
14.325	0.658456	348.052
14.347	0.484527	348.216
14.369	0.318600	348.330
14.389	-0.212588	348.379
14.411	-0.709410	348.373
14.432	-0.913013	348.407
14.456	-0.772910	348.548
14.475	-0.280227	348.742
14.497	0.194068	348.953
14.518	0.253432	349.185
14.540	0.276266	349.386
14.560	0.376350	349.527
14.582	0.245357	349.626
14.604	0.119949	349.680
14.626	0.100909	349.716
14.646	0.054698	349.749
14.668	-0.063103	349.760
14.689	-0.177140	349.767
14.712	-0.287050	349.777
14.732	-0.204926	349.784
14.754	0.035178	349.784
14.775	0.067759	349.764
14.798	-0.059247	349.748
14.817	-0.066422	349.745
14.839	0.028661	349.760
14.860	0.031756	349.760
14.882	0.236178	349.769
14.903	0.265403	349.760
14.925	0.230106	349.749
14.945	0.047684	349.749
14.970	-0.175391	349.736
14.989	-0.206065	349.721
15.011	-0.217348	349.664
15.031	-0.253935	349.620
15.055	-0.362794	349.620
15.074	-0.375343	349.586
15.095	-0.212258	349.565
15.117	0.200219	349.577
15.139	0.198257	349.615
15.160	0.079064	349.663
15.181	0.117640	349.762
15.202	0.116700	349.762
15.227	-0.139421	349.816
15.245	-0.491436	349.866
15.267	-0.486206	349.930
15.288	-0.285358	350.006
15.312	0.057118	350.071
15.330	0.302472	350.107
15.352	0.352899	350.100
15.377	0.294134	350.082
15.395	0.396148	350.093
15.416	0.506237	350.127
15.439	0.266191	350.293
